,fic_iServiciosViviendaLuz,fic_iServiciosViviendaAgua,Postulaciones anteriores a la UNMSM,Edad,fic_iServiciosViviendaTelefono,Tipo de preparacion universitaria,Situacion Familiar,Ingreso mensual familiar,Pago mensual de colegio,Tipo de colegio de procedencia,ES INGRESANTE?
159,1,1,3,19,0,1,0,1,3,1,SI
160,1,1,4,19,1,1,0,1,3,0,SI
161,1,1,1,17,1,1,1,0,3,1,SI
162,1,1,4,20,1,1,0,1,0,1,SI
163,1,1,4,19,1,1,0,1,3,0,SI
164,1,1,2,20,1,1,0,3,0,1,SI
165,1,1,4,19,1,1,4,1,1,1,SI
166,1,1,4,19,1,1,0,1,3,0,SI
167,1,1,1,17,0,1,4,0,1,1,SI
168,1,1,3,18,1,1,2,0,1,1,SI
169,1,1,0,17,0,0,4,4,3,0,SI
170,1,1,1,18,1,1,4,1,0,1,SI
171,1,1,1,18,1,1,0,1,3,0,SI
172,1,1,0,18,1,0,0,0,0,1,SI
173,1,1,1,19,1,0,0,3,3,0,SI
174,1,1,4,22,0,0,0,3,3,0,SI
175,1,1,2,30,1,4,0,0,0,1,SI
176,1,1,4,24,0,0,2,2,3,0,SI
177,1,1,4,21,1,1,0,1,3,1,SI
178,1,0,3,22,0,1,1,3,3,0,SI
179,1,1,3,19,1,0,0,0,3,0,SI
180,1,1,4,19,1,0,4,1,3,0,SI
181,1,1,1,18,0,0,0,3,0,1,SI
182,1,1,0,17,1,4,0,1,1,1,SI
183,1,1,1,18,1,0,0,2,3,1,SI
184,1,1,2,18,1,0,0,1,0,1,SI
185,1,1,4,20,1,4,0,0,3,0,SI
186,1,1,3,20,1,0,0,3,3,0,SI
187,1,1,4,20,0,1,3,1,3,0,SI
188,1,1,3,20,0,4,0,3,0,1,SI
189,1,1,2,19,1,1,0,3,3,0,SI
190,1,1,2,20,1,0,0,3,3,0,SI
191,1,1,2,21,0,2,0,3,3,0,SI
192,1,1,4,20,1,1,0,1,0,1,SI
193,1,1,1,18,0,1,0,0,1,1,SI
194,1,1,4,21,1,1,0,3,0,1,SI
195,1,1,2,19,0,1,4,2,0,1,SI
196,1,1,3,18,1,1,4,1,2,1,SI
197,1,1,2,19,1,1,3,1,1,1,SI
198,1,1,2,21,1,1,0,3,3,0,SI
199,1,1,4,22,0,1,2,0,0,0,SI
200,1,1,2,20,0,1,0,1,0,1,SI
201,1,1,4,24,0,1,0,0,3,0,SI
202,1,1,0,16,1,3,4,3,0,1,SI
203,0,0,4,19,0,0,0,3,3,0,NO
204,1,1,2,19,0,0,0,0,3,0,SI
205,1,1,0,19,1,0,0,3,0,0,SI
206,1,1,3,20,1,0,0,1,3,0,SI
207,1,1,2,17,1,0,0,1,0,1,SI
208,1,1,4,28,1,4,4,4,3,0,SI
209,1,1,1,18,0,0,0,3,0,1,SI
210,1,1,4,20,0,1,2,1,0,1,SI
211,1,1,3,24,1,0,1,2,1,1,SI
212,1,1,4,20,1,1,4,3,0,1,SI
213,0,0,1,17,0,0,0,3,3,1,NO
214,1,1,1,17,0,1,0,2,0,1,SI
215,1,1,2,20,1,0,0,3,0,1,SI
216,1,1,3,19,0,0,4,3,3,0,SI
217,1,1,0,18,1,1,4,3,1,1,SI
218,0,0,0,17,0,2,0,3,3,1,NO
219,1,1,3,20,1,0,0,3,1,1,SI
220,1,1,4,20,0,0,0,1,0,1,SI
221,1,1,4,21,1,1,3,1,3,0,SI
222,1,1,3,20,1,1,4,1,2,1,SI
223,1,1,1,18,1,0,0,0,3,0,SI
224,1,1,2,18,1,0,0,1,0,1,SI
225,0,0,0,16,0,2,0,3,3,1,NO
226,1,1,3,20,1,0,0,1,0,1,SI
227,1,1,4,19,1,4,0,1,0,1,SI
228,1,1,4,21,1,4,0,1,3,0,SI
229,1,1,2,22,1,0,0,0,3,0,SI
230,1,0,1,18,0,0,4,1,0,1,SI
231,1,1,4,19,0,1,0,3,0,1,SI
232,1,0,1,18,0,0,4,1,3,0,SI
233,1,1,0,18,1,0,0,1,1,1,SI
234,1,1,1,18,1,0,0,0,0,1,SI
235,1,1,0,17,1,4,0,3,3,0,SI
236,1,1,4,20,1,0,0,1,0,1,SI
237,1,1,3,20,1,0,0,2,0,1,SI
238,1,1,4,21,1,1,4,3,3,0,SI
239,1,1,4,19,1,1,3,0,3,0,SI
240,0,1,3,20,0,1,0,3,3,0,SI
241,1,1,2,18,1,1,4,3,0,1,SI
242,1,1,3,18,1,1,2,1,0,1,SI
243,1,1,3,18,0,1,1,3,3,1,SI
244,1,1,3,19,1,0,3,0,3,0,SI
245,1,1,4,23,1,1,0,0,0,1,SI
246,1,1,2,18,1,1,0,1,2,1,SI
247,1,1,1,17,1,0,0,1,1,1,SI
248,1,1,0,19,1,0,0,3,3,0,SI
249,1,1,1,18,0,0,0,0,3,0,SI
250,1,1,3,19,0,4,4,3,0,1,SI
251,1,1,4,40,1,4,0,1,2,1,SI
252,1,1,4,22,1,0,0,3,3,0,SI
253,1,1,4,20,1,1,0,1,0,1,SI
254,1,1,4,26,1,4,0,0,0,1,SI
255,1,1,4,23,1,0,0,4,3,0,SI
256,1,1,4,24,0,1,2,3,0,1,SI
257,1,1,2,19,1,0,0,0,3,0,SI
258,1,1,2,17,1,1,4,3,0,1,SI
259,1,1,2,19,1,0,0,1,0,1,SI
260,1,1,2,19,0,0,0,3,3,0,SI
261,1,1,4,23,1,0,0,1,1,1,SI
262,1,1,0,18,1,0,0,1,3,0,SI
263,1,1,3,20,1,1,4,0,3,0,SI
264,1,1,1,24,1,4,0,3,3,0,SI
265,1,1,3,20,0,0,1,1,3,0,SI
266,1,1,4,19,1,1,3,3,3,0,SI
267,1,1,4,22,1,0,4,3,3,1,SI
268,1,1,4,20,1,0,0,1,0,1,SI
269,0,0,0,17,0,0,0,3,3,1,NO
270,1,1,2,23,0,0,4,2,3,1,SI
271,1,1,2,19,1,0,1,0,1,1,SI
272,1,1,4,22,1,4,0,0,3,0,SI
273,1,1,3,20,0,0,0,3,3,0,SI
274,1,1,4,19,1,1,0,1,3,0,SI
275,1,1,0,20,1,0,0,3,3,1,SI
276,1,1,0,16,1,3,0,3,1,1,SI
277,1,1,4,21,1,4,0,4,3,0,SI
278,1,1,3,20,0,1,0,0,3,1,SI
279,1,1,3,18,0,1,4,3,3,0,SI
280,1,1,2,18,1,1,0,0,3,0,SI
281,1,1,1,17,1,1,0,0,0,1,SI
282,1,1,4,19,1,1,4,3,0,1,SI
283,1,1,3,19,1,1,0,0,0,1,SI
284,1,1,2,21,0,1,4,0,3,1,SI
285,1,1,4,20,0,1,3,3,3,0,SI
286,1,1,2,19,1,1,0,2,0,1,SI
287,1,1,4,20,1,1,0,3,0,1,SI
288,1,1,3,20,1,1,0,3,1,1,SI
289,1,1,2,18,1,1,0,3,3,0,SI
290,1,1,4,18,1,0,0,1,3,0,SI
291,1,1,1,18,0,1,0,3,0,1,SI
292,1,1,4,18,1,4,0,1,2,1,SI
293,1,1,2,20,0,1,1,2,0,1,SI
294,1,1,2,18,1,1,0,0,2,1,SI
295,1,1,2,18,0,1,0,0,0,1,SI
296,1,1,3,20,0,1,2,3,3,0,SI
297,1,1,3,20,0,2,0,2,3,0,SI
298,1,1,1,24,1,1,0,0,3,0,SI
299,0,0,4,20,0,0,0,3,3,0,NO
300,1,1,4,19,0,0,4,3,0,1,SI
301,1,1,3,19,1,4,4,0,2,1,SI
302,1,1,3,20,0,0,0,1,3,1,SI
303,1,1,0,17,1,2,0,1,2,1,SI
304,1,0,3,22,0,0,4,2,3,0,SI
305,1,1,2,18,1,0,0,3,0,1,SI
306,1,1,1,18,1,1,1,1,3,0,SI
307,1,1,0,18,1,2,0,1,1,1,SI
308,1,1,4,22,0,1,0,2,3,0,SI
309,1,1,4,21,1,1,0,3,0,1,SI
310,1,1,2,19,0,1,4,4,0,1,SI
311,1,1,4,18,1,1,1,1,1,1,SI
312,1,1,4,20,0,1,0,2,0,1,SI
313,1,1,1,19,1,1,4,1,2,1,SI
314,1,1,3,18,1,1,0,3,1,1,SI
315,1,1,3,19,1,1,4,1,0,1,SI
316,1,1,3,20,1,1,0,0,1,0,SI
317,1,1,3,18,1,1,0,1,0,1,SI
318,1,1,4,20,1,1,0,1,1,1,SI
319,1,1,3,19,1,1,0,0,0,1,SI
320,1,1,2,19,0,1,0,2,3,0,SI
321,1,1,4,21,1,1,0,3,0,1,SI
322,1,1,3,20,0,1,2,0,0,1,SI
323,1,1,1,19,0,1,0,2,3,0,SI
324,1,1,1,19,1,2,0,3,0,1,SI
325,0,0,0,18,0,0,0,3,3,1,NO
326,1,1,0,18,1,0,4,0,0,1,SI
327,1,1,4,22,1,0,3,1,3,0,SI
328,1,1,0,18,1,0,0,0,0,1,SI
329,1,1,1,20,1,1,1,1,0,1,SI
330,1,1,1,17,1,0,0,0,3,0,SI
331,1,1,0,16,0,4,0,1,1,1,SI
332,1,1,2,18,1,0,0,3,3,0,SI
333,1,1,0,19,1,1,0,0,0,1,SI
334,1,1,0,18,1,0,0,3,2,1,SI
335,1,1,2,20,0,1,0,2,3,0,SI
336,0,0,1,19,0,0,0,3,3,0,NO
337,1,1,1,19,1,0,4,3,1,1,SI
338,0,0,0,17,0,3,0,3,3,1,NO
339,1,1,0,17,1,0,0,1,0,1,SI
340,0,0,0,18,0,0,0,3,3,1,NO
341,1,1,0,17,0,0,1,1,2,1,SI
342,1,1,2,20,1,2,0,2,3,0,SI
343,1,1,2,19,0,0,3,3,3,0,SI
344,1,1,4,21,1,1,4,1,3,1,SI
345,1,1,2,19,1,0,0,3,0,1,SI
346,1,1,1,17,1,1,1,1,3,0,SI
347,0,0,1,16,0,3,0,3,3,1,NO
348,0,0,0,16,0,0,0,3,3,1,NO
349,1,1,4,22,1,2,1,2,3,0,SI
350,1,1,3,18,1,1,1,0,0,1,SI
351,1,1,2,18,0,0,4,4,3,0,SI
352,1,1,2,17,1,0,4,1,2,1,SI
353,1,1,1,18,1,0,0,0,3,0,SI
354,1,1,0,17,1,0,0,1,2,1,SI
355,1,1,2,18,0,1,0,3,3,0,SI
356,1,1,3,21,0,1,0,0,0,1,SI
357,1,1,3,20,1,1,0,0,0,1,SI
358,1,1,0,18,1,0,4,3,0,1,SI
359,1,1,2,20,1,1,0,0,0,1,SI
360,1,1,4,19,1,1,4,1,2,1,SI
361,1,1,3,18,0,1,4,0,2,1,SI
362,1,1,3,19,0,1,0,3,0,1,SI
363,1,1,4,20,0,1,3,1,0,1,SI
364,1,1,4,28,0,1,0,2,3,0,SI
